date,time,Temperature,Humidity,WindDir,WindSpe
2023-01-14,06:00:00,23.3,75.5,249.0,0.519
2023-01-14,07:00:00,23.1,75.7,252.0,0.793
2023-01-14,08:00:00,23.2,75.7,181.0,1.16
2023-01-14,09:00:00,23.7,74.3,213.0,1.08
2023-01-14,10:00:00,25.0,70.9,201.0,1.13
2023-01-14,11:00:00,26.9,64.7,121.0,1.2
2023-01-14,12:00:00,28.6,59.5,123.0,1.25
2023-01-14,13:00:00,29.6,55.5,147.0,1.07
2023-01-14,14:00:00,29.9,54.9,169.0,1.54
2023-01-14,15:00:00,31.4,49.5,163.0,1.61
2023-01-14,16:00:00,31.1,50.1,152.0,0.996
2023-01-14,17:00:00,30.5,52.0,164.0,0.901
2023-01-15,06:00:00,22.2,85.8,238.0,1.37
2023-01-15,07:00:00,22.1,85.5,166.0,0.761
2023-01-15,08:00:00,22.4,86.3,221.0,0.503
2023-01-15,09:00:00,22.6,85.4,293.0,0.695
2023-01-15,10:00:00,22.9,85.0,189.0,0.397
2023-01-15,11:00:00,23.4,84.9,181.0,0.543
2023-01-15,12:00:00,24.7,79.6,220.0,0.971
2023-01-15,13:00:00,25.1,78.6,148.0,0.727
2023-01-15,14:00:00,24.8,78.8,122.0,0.672
2023-01-15,15:00:00,25.6,75.9,162.0,0.496
2023-01-15,16:00:00,26.0,74.0,176.0,0.524
2023-01-15,17:00:00,26.1,73.6,229.0,0.921
2023-01-16,06:00:00,23.7,82.3,236.0,0.386
2023-01-16,07:00:00,23.6,81.4,246.0,0.418
2023-01-16,08:00:00,24.1,80.4,217.0,0.897
2023-01-16,09:00:00,25.4,76.2,163.0,1.68
2023-01-16,10:00:00,27.0,70.9,124.0,1.16
2023-01-16,11:00:00,27.5,66.8,209.0,0.957
2023-01-16,12:00:00,28.7,62.0,196.0,0.912
2023-01-16,13:00:00,29.8,58.2,156.0,0.955
2023-01-16,14:00:00,29.3,62.2,138.0,0.893
2023-01-16,15:00:00,29.8,60.6,159.0,1.55
2023-01-16,16:00:00,29.7,59.7,168.0,1.23
2023-01-16,17:00:00,29.7,59.8,168.0,1.16
2023-01-17,06:00:00,23.8,78.4,257.0,0.568
2023-01-17,07:00:00,23.7,78.7,199.0,1.11
2023-01-17,08:00:00,23.8,77.7,143.0,1.13
2023-01-17,09:00:00,25.6,72.9,158.0,0.921
2023-01-17,10:00:00,26.6,69.4,101.0,1.15
2023-01-17,11:00:00,26.3,69.9,104.0,1.31
2023-01-17,12:00:00,26.4,70.1,92.7,1.49
2023-01-17,13:00:00,26.1,71.8,103.0,1.54
2023-01-17,14:00:00,27.8,64.8,108.0,1.55
2023-01-17,15:00:00,28.0,63.5,135.0,1.4
2023-01-17,16:00:00,27.5,62.9,132.0,1.31
2023-01-17,17:00:00,27.0,65.2,132.0,1.4
2023-01-18,06:00:00,23.2,81.0,129.0,0.381
2023-01-18,07:00:00,23.1,81.9,148.0,0.93
2023-01-18,08:00:00,23.4,81.2,199.0,1.59
2023-01-18,09:00:00,24.6,77.3,144.0,1.88
2023-01-18,10:00:00,26.0,73.1,143.0,1.57
2023-01-18,11:00:00,27.2,68.0,109.0,1.38
2023-01-18,12:00:00,28.9,61.3,98.4,1.68
2023-01-18,13:00:00,30.1,56.5,114.0,1.76
2023-01-18,14:00:00,30.9,54.2,106.0,1.45
