"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-01 01:00:00,0.241 m/s
2023-05-01 02:00:00,0.249 m/s
2023-05-01 03:00:00,0.877 m/s
2023-05-01 04:00:00,0.881 m/s
2023-05-01 05:00:00,0.688 m/s
2023-05-01 06:00:00,0.482 m/s
2023-05-01 07:00:00,0.735 m/s
2023-05-01 08:00:00,0.696 m/s
2023-05-01 09:00:00,0.493 m/s
2023-05-01 10:00:00,0.537 m/s
2023-05-01 11:00:00,0.560 m/s
2023-05-01 12:00:00,0.724 m/s
2023-05-01 13:00:00,1.33 m/s
2023-05-01 14:00:00,1.63 m/s
2023-05-01 15:00:00,1.01 m/s
2023-05-01 16:00:00,1.21 m/s
2023-05-01 17:00:00,1.21 m/s
2023-05-01 18:00:00,1.85 m/s
2023-05-01 19:00:00,2.24 m/s
2023-05-01 20:00:00,2.00 m/s
2023-05-01 21:00:00,0.885 m/s
2023-05-01 22:00:00,1.89 m/s
2023-05-01 23:00:00,1.33 m/s
2023-05-02 00:00:00,1.11 m/s
2023-05-02 01:00:00,1.52 m/s
2023-05-02 02:00:00,1.03 m/s
2023-05-02 03:00:00,1.16 m/s
2023-05-02 04:00:00,0.849 m/s
2023-05-02 05:00:00,0.288 m/s
2023-05-02 06:00:00,0.255 m/s
2023-05-02 07:00:00,0.204 m/s
2023-05-02 08:00:00,0.770 m/s
2023-05-02 09:00:00,0.888 m/s
2023-05-02 10:00:00,1.13 m/s
2023-05-02 11:00:00,1.13 m/s
2023-05-02 12:00:00,1.28 m/s
2023-05-02 13:00:00,0.549 m/s
2023-05-02 14:00:00,0.461 m/s
2023-05-02 15:00:00,0.658 m/s
2023-05-02 16:00:00,1.28 m/s
2023-05-02 17:00:00,1.63 m/s
2023-05-02 18:00:00,2.79 m/s
2023-05-02 19:00:00,2.35 m/s
2023-05-02 20:00:00,2.04 m/s
2023-05-02 21:00:00,2.28 m/s
2023-05-02 22:00:00,2.53 m/s
2023-05-02 23:00:00,1.95 m/s
2023-05-03 00:00:00,1.37 m/s
2023-05-03 01:00:00,1.38 m/s
2023-05-03 02:00:00,0.700 m/s
2023-05-03 03:00:00,0.867 m/s
2023-05-03 04:00:00,1.04 m/s
2023-05-03 05:00:00,0.871 m/s
2023-05-03 06:00:00,0.366 m/s
2023-05-03 07:00:00,0.246 m/s
2023-05-03 08:00:00,0.277 m/s
2023-05-03 09:00:00,0.904 m/s
2023-05-03 10:00:00,1.12 m/s
2023-05-03 11:00:00,0.650 m/s
2023-05-03 12:00:00,0.544 m/s
2023-05-03 13:00:00,0.709 m/s
2023-05-03 14:00:00,0.804 m/s
2023-05-03 15:00:00,0.763 m/s
2023-05-03 16:00:00,0.673 m/s
2023-05-03 17:00:00,0.486 m/s
2023-05-03 18:00:00,0.427 m/s
2023-05-03 19:00:00,1.95 m/s
2023-05-03 20:00:00,1.13 m/s
2023-05-03 21:00:00,1.22 m/s
2023-05-03 22:00:00,0.417 m/s
2023-05-03 23:00:00,0.757 m/s
2023-05-04 00:00:00,1.25 m/s
2023-05-04 01:00:00,0.890 m/s
2023-05-04 02:00:00,0.796 m/s
2023-05-04 03:00:00,1.21 m/s
2023-05-04 04:00:00,0.717 m/s
